case_id,hu_max_crudo,hu_min_crudo,frac_padding,n_vox_metal,vol_metal_mm3,n_cortes_con_metal,corte_max_metal,metal_dentro_mascara_vox,cuerpo_media,cuerpo_std,cuerpo_p1,cuerpo_p50,cuerpo_p99,hueso_media,hueso_std,hueso_p5,hueso_p50,hueso_p95
023,1624.0,-1023.0,0.0,0,0.0,0,-1,0,19.72044661456227,144.87241303423153,-229.0,21.0,631.0,302.2979795457637,214.7046221380884,61.0,241.0,741.0
024,5237.0,-2048.0,0.21846097673688616,203,98.92768198724993,12,338,0,21.334882379443904,135.8685066741399,-319.0,21.0,591.0,266.6786568025003,244.6033449433885,11.0,201.0,781.0
025,12939.0,-1023.0,0.0,4876,2946.3878784179688,135,135,0,-9.26265226689651,140.67042732841816,-359.0,-9.0,551.0,202.3151001086352,218.96054539813917,-29.0,141.0,671.0
026,1913.0,-1023.0,0.0,0,0.0,0,-1,0,-14.426929728592155,127.21815208954365,-379.0,-19.0,471.0,177.49262522164057,204.91698931502185,-39.0,111.0,611.0
027,10827.0,-1024.0,0.0,39479,21810.121698387276,125,84,0,-44.29387005978348,140.11962596467777,-399.0,-79.0,461.0,181.48849085675255,229.178735145443,-59.0,111.0,651.0
028,1658.0,-1023.0,0.0,0,0.0,0,-1,0,48.73776301797425,137.16218599110098,-239.0,31.0,691.0,299.16737911176773,245.92287120850528,21.0,231.0,821.0
029,9989.0,-1023.0,0.0,434,212.9749287132231,24,292,0,9.404586333276141,170.02174815712715,-319.0,-9.0,691.0,284.775406237296,324.9715508435159,-59.0,181.0,1001.0
030,1664.0,-1023.0,0.0,0,0.0,0,-1,0,20.011133048963238,157.4619807239427,-329.0,21.0,701.0,338.9665449385052,244.66908503042782,61.0,271.0,851.0
031,3205.0,-1023.0,0.0,2,1.220703125,2,167,0,35.52854162067347,165.80052308526894,-389.0,31.0,761.0,372.3154226528292,258.1239125432575,81.0,291.0,931.0
032,5754.0,-2048.0,0.21526143755231586,403,196.89662199436717,24,181,0,-40.94558100820055,155.2093522597021,-359.0,-89.0,651.0,331.6865536116227,317.2396107816407,-9.0,241.0,1001.0
033,1979.0,-1023.0,0.0,0,0.0,0,-1,0,15.656562841444487,166.54583697862333,-199.0,11.0,771.0,304.97310281965713,305.9246560719757,-9.0,201.0,981.0
034,2905.0,-1024.0,0.0,0,0.0,0,-1,0,-10.031254101622888,146.99075760169657,-439.0,1.0,501.0,158.4753036800011,193.11237131217618,-59.0,111.0,551.0
035,3549.0,-2048.0,0.05484650213324108,3,1.5668737324607886,2,29,0,7.326506487619293,168.20159156473974,-389.0,1.0,711.0,326.00020493248985,228.82824165393282,81.0,261.0,811.0
036,4150.0,-1023.0,0.0,96,58.59375,5,303,0,28.95647625083045,170.02890340088206,-369.0,31.0,811.0,326.7273645242101,275.466271891447,21.0,251.0,921.0
037,12340.0,-1023.0,0.0,1250,767.5354936509393,44,261,0,15.625915298222136,178.98378574084387,-379.0,21.0,871.0,448.9037466782617,281.6785459599952,111.0,371.0,1041.0
038,1736.0,-2048.0,0.2148795645577567,0,0.0,0,-1,0,-16.52758179173772,167.4184248099272,-359.0,-29.0,751.0,468.19421280583236,301.47668514291126,101.0,401.0,1091.0
039,1829.0,-1072.0,0.0005274070586530975,0,0.0,0,-1,0,-22.643962794384734,133.7929330510821,-149.0,-49.0,551.0,314.07606208013453,245.6472351395182,41.0,251.0,841.0
040,1753.0,-2048.0,0.21493362426757812,0,0.0,0,-1,0,-2.85148663100209,174.26100153628752,-369.0,1.0,771.0,429.96599380041164,288.39506751371573,71.0,361.0,1011.0
041,1655.0,-2076.0,0.07792076390515695,0,0.0,0,-1,0,27.8122651843683,144.2964322100529,-299.0,21.0,671.0,340.864149136809,230.51331378938124,71.0,281.0,811.0
042,1739.0,-2048.0,0.23918284824916294,0,0.0,0,-1,0,36.83674825869275,192.47226202124355,-399.0,31.0,951.0,459.6693439536723,317.19498223971624,91.0,381.0,1131.0
043,1470.0,-1023.0,0.0,0,0.0,0,-1,0,18.448361653332014,146.77340698257464,-389.0,31.0,591.0,312.1834556591307,226.31085082584096,41.0,261.0,781.0
044,2687.0,-1024.0,0.0,0,0.0,0,-1,0,51.01504335630471,180.7126389136978,-359.0,31.0,841.0,422.7315294527676,269.56662209053957,91.0,361.0,971.0
045,1546.0,-1023.0,0.0,0,0.0,0,-1,0,24.461403224682282,142.92998490836342,-239.0,21.0,681.0,280.9579375652497,266.4838894847307,-29.0,211.0,831.0
046,11480.0,-1023.0,0.0,411,250.8544921875,9,122,0,45.54539516251509,173.42666064806485,-389.0,31.0,861.0,373.84915907982065,291.46375853892715,41.0,281.0,991.0
047,1633.0,-1024.0,0.0,0,0.0,0,-1,0,27.032283881497314,178.0558828354842,-389.0,31.0,881.0,409.9104262685936,327.6466393891126,21.0,321.0,1081.0
048,2413.0,-1023.0,0.0,0,0.0,0,-1,0,-17.684443478526862,176.36243392968183,-299.0,-49.0,701.0,357.63869017613905,415.60231831178976,-89.0,221.0,1251.0
049,1609.0,-1023.0,0.0,0,0.0,0,-1,0,22.449582352961684,170.74098711074473,-379.0,31.0,781.0,353.7351149364861,293.97760592114116,21.0,281.0,981.0
050,6916.0,-1023.0,0.0,292,109.16138671291264,34,9,0,10.606670130005401,157.3651355996194,-289.0,11.0,721.0,351.5827825254963,269.84265423769955,61.0,271.0,931.0
051,9741.0,-3376.0,0.21723147800990514,1295,762.7124186744004,22,17,0,17.40467115817687,177.59486491811245,-419.0,21.0,761.0,354.4267112962439,260.56554089048535,51.0,291.0,901.0
052,1703.0,-2048.0,0.217620849609375,0,0.0,0,-1,0,-36.36979901958264,150.34118048951916,-389.0,-69.0,551.0,342.46440867323844,227.08814583777107,81.0,281.0,811.0
053,1462.0,-1023.0,0.0,0,0.0,0,-1,0,31.88507850793096,163.44873005954648,-369.0,41.0,711.0,376.71091041956123,238.4951856329772,91.0,311.0,881.0
054,9015.0,-1023.0,0.0,294,204.48580169677734,25,159,0,-19.144265779553006,152.29898563943118,-369.0,-39.0,591.0,371.68393570732536,228.65648616196253,111.0,301.0,861.0
055,23354.0,-1023.0,0.0,211,144.701904296875,17,122,0,8.601506046160845,157.04103488351748,-379.0,11.0,671.0,348.2610067757162,264.47566091844175,41.0,271.0,901.0
056,1707.0,-1023.0,0.0,0,0.0,0,-1,0,17.40727099076102,118.71532134146848,-309.0,11.0,511.0,257.2571705388911,202.11374019650154,11.0,211.0,661.0
057,16749.0,-1023.0,0.0,2164,2039.0605010986328,105,60,0,6.148927485582809,151.66767410446315,-239.0,11.0,701.0,362.56075563284105,266.0423543100339,61.0,281.0,921.0
058,3873.0,-1023.0,0.0,24,21.2698974609375,10,259,0,-6.358075572876348,161.11365429984903,-329.0,-9.0,771.0,400.7332133013304,251.28537262126898,101.0,331.0,921.0
059,1599.0,-1023.0,0.0,0,0.0,0,-1,0,25.40935050523626,151.77804302190555,-359.0,31.0,621.0,337.1667350187027,237.0621072141587,51.0,281.0,821.0
060,2352.0,-2048.0,0.00038411257247822345,0,0.0,0,-1,0,2.467363068768398,153.93340646254973,-279.0,11.0,681.0,313.44154259166476,267.3520450398854,11.0,241.0,871.0
061,1620.0,-2048.0,0.21485943385532924,0,0.0,0,-1,0,51.035975672108705,177.11301700007243,-419.0,41.0,811.0,439.09750323126326,269.9534073147335,111.0,371.0,981.0
062,2539.0,-1023.0,0.0,0,0.0,0,-1,0,28.151156399012827,169.75098360298853,-309.0,21.0,831.0,375.929874015639,288.4837834628814,51.0,291.0,991.0
063,1530.0,-1166.0,3.4834332718327186e-05,0,0.0,0,-1,0,2.980092408451639,136.76036169929134,-129.0,1.0,641.0,374.75374019468507,222.02374850299265,111.0,321.0,841.0
064,1791.0,-2048.0,0.21596450805664064,0,0.0,0,-1,0,1.3965597977030022,158.67467434471342,-369.0,1.0,681.0,374.1481132098408,258.699260042136,61.0,311.0,901.0
065,11341.0,-2602.0,0.21578859601702008,1701,831.069861072999,52,322,0,-9.41976464645264,161.59438807034877,-399.0,-29.0,651.0,384.11462411851033,253.71655737009863,51.0,331.0,891.0
066,1479.0,-1023.0,0.0,0,0.0,0,-1,0,5.910745138478806,133.38278694189046,-349.0,11.0,531.0,229.1926317811635,224.1235675485791,11.0,151.0,711.0
067,3156.0,-2048.0,0.07195221395869261,2,1.3075439178284265,2,317,0,19.008680283179253,147.92205676258254,-329.0,21.0,671.0,284.86187337315476,253.43645316097232,21.0,211.0,821.0
068,30445.0,-6211.0,0.21643050057547433,6890,3629.5347822360422,109,323,0,6.738260154946861,172.8025698972648,-369.0,1.0,791.0,429.7013614345147,292.55372469406416,91.0,351.0,1041.0
069,3077.0,-2048.0,0.3185614013671875,14,9.153377525090418,10,306,0,-28.317462908685147,163.69772217619663,-389.0,-59.0,711.0,341.23535264254275,295.2013844888144,11.0,251.0,961.0
070,1775.0,-2048.0,0.21469420296805244,0,0.0,0,-1,0,41.87813086185,178.93293447488836,-349.0,31.0,831.0,394.72674193177284,278.40547010135657,91.0,311.0,991.0
071,2470.0,-1023.0,0.0,0,0.0,0,-1,0,17.96835753669664,170.04243102927,-189.0,11.0,861.0,416.9148702710139,358.63646509162487,21.0,301.0,1181.0
072,7697.0,-1479.0,0.00012041533657892804,635,427.29949951171875,21,237,0,17.99460683507122,166.8005112538867,-199.0,21.0,791.0,440.9429792564354,254.66966043751566,131.0,371.0,961.0
073,6153.0,-1023.0,0.0,200,97.66221046447754,14,62,0,-16.7506777103076,149.07473151355003,-399.0,-29.0,611.0,255.04142266948915,287.4598864699269,-49.0,181.0,861.0
074,15467.0,-2913.0,0.29317490747369873,1714,1307.846411517386,43,231,0,-20.94491951515758,154.52811801401717,-409.0,-39.0,601.0,263.927037110254,232.23738010137222,1.0,201.0,741.0
075,1657.0,-1023.0,0.0,0,0.0,0,-1,0,9.935354133379722,145.6492850952782,-359.0,11.0,591.0,346.6102716540074,227.34127981083026,91.0,281.0,821.0
076,1695.0,-2048.0,0.2203535679408482,0,0.0,0,-1,0,25.44055653012949,187.96680841369704,-389.0,21.0,841.0,496.6491237881923,258.71118544550325,181.0,431.0,1021.0
077,1749.0,-2048.0,0.21520562308175223,0,0.0,0,-1,0,-2.0397783764727286,175.64053242503354,-379.0,1.0,761.0,404.9251848609113,267.4588589502118,91.0,331.0,951.0
078,1782.0,-2359.0,0.006789594790271697,0,0.0,0,-1,0,14.794165213196454,172.77816045513904,-359.0,11.0,811.0,325.60393061971445,290.36722984879754,1.0,251.0,931.0
079,1570.0,-1023.0,0.0,0,0.0,0,-1,0,39.93633211467131,154.0307584722258,-349.0,41.0,721.0,368.42957352168133,245.64472518629424,61.0,311.0,861.0
080,47685.0,-1023.0,0.0,956,574.7764739990234,45,31,0,11.873151833476566,160.57871675331842,-389.0,21.0,661.0,305.45909525601786,248.82544587921876,41.0,231.0,841.0
081,1872.0,-2048.0,0.0023436555834189378,0,0.0,0,-1,0,46.76609125519894,174.2723904466174,-219.0,31.0,851.0,470.023087457845,281.442320112527,121.0,411.0,1031.0
082,2339.0,-1023.0,0.0,0,0.0,0,-1,0,6.504300378815614,148.61615732060582,-259.0,21.0,681.0,368.8116840924344,251.3080223973677,71.0,301.0,891.0
083,4859.0,-1023.0,0.0,192,85.94927443563938,12,315,0,-5.0780482061588055,159.5093478052409,-379.0,-19.0,661.0,388.9470869914173,293.88206778345,71.0,301.0,1031.0
084,19419.0,-1023.0,0.0,176,127.04315185546875,7,161,0,-27.23551168614307,134.63949121352812,-309.0,-59.0,521.0,347.72552621966844,229.48084701491584,81.0,291.0,831.0
085,3648.0,-1023.0,0.0,25,16.710206572133757,6,290,0,-15.165521523756853,153.54913995813772,-189.0,-39.0,691.0,404.2127635902821,257.3637214141332,101.0,341.0,941.0
086,1736.0,-1054.0,3.1252083472231485e-05,0,0.0,0,-1,0,29.391388844436314,162.61476283035213,-169.0,21.0,811.0,463.90642500610625,255.0798160854552,161.0,391.0,991.0
087,9618.0,-1023.0,0.0,36,18.830127233715757,4,288,0,65.82291523480745,178.25093328994433,-209.0,41.0,961.0,411.09400254883695,306.5511402723612,81.0,311.0,1091.0
088,1671.0,-1023.0,0.0,0,0.0,0,-1,0,-5.974455761927112,130.90865612907717,-209.0,1.0,541.0,294.20152507259,236.64019529096572,31.0,231.0,791.0
089,2986.0,-1023.0,0.0,0,0.0,0,-1,0,-9.21455454972098,149.57924681983033,-299.0,-29.0,621.0,368.2113394482732,237.2473262232129,81.0,311.0,861.0
090,1756.0,-2048.0,0.30974568718691603,0,0.0,0,-1,0,15.343861769140778,193.38813079382922,-419.0,11.0,891.0,479.60169595738665,316.57387926730877,111.0,401.0,1141.0
091,1692.0,-1023.0,0.0,0,0.0,0,-1,0,2.8557895044213746,177.8426533508366,-359.0,1.0,791.0,471.503494884488,264.586700239209,141.0,401.0,1021.0
092,1526.0,-1023.0,0.0,0,0.0,0,-1,0,-11.730382009299984,154.6731921642844,-399.0,-19.0,641.0,369.4174467874041,238.06596278202096,91.0,311.0,871.0
093,2970.0,-1023.0,0.0,0,0.0,0,-1,0,5.44035028929448,147.00740510830408,-399.0,11.0,571.0,276.69937073960284,257.16125782582174,1.0,201.0,831.0
094,1779.0,-2048.0,0.2985881768857328,0,0.0,0,-1,0,-7.420747308447539,179.2853407530348,-419.0,-9.0,811.0,410.9831422951017,313.1361097235864,41.0,321.0,1061.0
095,1761.0,-1023.0,0.0,0,0.0,0,-1,0,-8.825478728911545,131.73539833230032,-379.0,-9.0,461.0,139.49476083196276,198.5329254665415,-59.0,81.0,551.0
096,13843.0,-3193.0,0.21529224940708705,360,175.88780128529078,6,194,0,-30.110855592619835,156.43998022030394,-349.0,-69.0,651.0,422.208660233793,283.11761933605595,71.0,361.0,991.0
097,1598.0,-1023.0,0.0,0,0.0,0,-1,0,23.906729883523116,159.8058576653627,-379.0,31.0,691.0,370.4487820307287,238.54912649613146,101.0,301.0,871.0
098,1924.0,-2048.0,0.21532612391880582,0,0.0,0,-1,0,-20.413805056427954,160.47253421436915,-369.0,-29.0,711.0,357.417081222615,297.6709489946117,21.0,281.0,971.0
099,1710.0,-1023.0,0.0,0,0.0,0,-1,0,16.17552474307746,171.7195098786056,-239.0,11.0,831.0,457.94727762016663,265.07260236342916,141.0,391.0,1021.0
100,24970.0,-6152.0,0.22091705322265626,14445,8677.599643072946,199,127,0,-15.566439512144928,187.8119321552933,-429.0,-29.0,831.0,475.80315547170903,300.07807656682866,131.0,391.0,1101.0
